# stage type: 4275 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
t1	op	t2	=> y
i32	<<	i32	i32
i32	<<	i64	i32
i32	<<	u8	i32
i32	<<	u16	i32
i32	<<	u32	i32
i32	<<	u64	i32
i32	<<	ptr	illegal
i32	<<	arr	illegal
i32	<<	struct	illegal
i32	<<	fn	illegal
i32	<<	f32	illegal
i32	<<	f64	illegal
i32	>>	void	illegal
i32	>>	i8	i32
i32	>>	i16	i32
i32	>>	i32	i32
i32	>>	i64	i32
i32	>>	u8	i32
i32	>>	u16	i32
i32	>>	u32	i32
i32	>>	u64	i32
i32	>>	ptr	illegal
i32	>>	arr	illegal
i32	>>	struct	illegal
i32	>>	fn	illegal
i32	>>	f32	illegal
i32	>>	f64	illegal
i64	+	void	illegal
i64	+	i8	i64
i64	+	i16	i64
i64	+	i32	i64
i64	+	i64	i64
i64	+	u8	i64
i64	+	u16	i64
i64	+	u32	i64
i64	+	u64	u64
i64	+	ptr	ptr
i64	+	arr	ptr
i64	+	struct	illegal
i64	+	fn	illegal
i64	+	f32	f32
i64	+	f64	f64
i64	-	void	illegal
i64	-	i8	i64
i64	-	i16	i64
i64	-	i32	i64
i64	-	i64	i64
i64	-	u8	i64
i64	-	u16	i64
i64	-	u32	i64
i64	-	u64	u64
i64	-	ptr	illegal
i64	-	arr	illegal
i64	-	struct	illegal
i64	-	fn	illegal
i64	-	f32	f32
i64	-	f64	f64
i64	*	void	illegal
i64	*	i8	i64
i64	*	i16	i64
i64	*	i32	i64
i64	*	i64	i64
i64	*	u8	i64
i64	*	u16	i64
